date,Open,HIgh,Low,PREV_CLOSE,LTP,Close,VWAP,52W_H,52W_L,VOLUME ,VALUE ,Trades
12-10-23,26675,26795,26428.5,26501.35,26553.45,26653.5,26600.26,27117.95,20150,21583,574113433.35,7383
13-10-23,26455,26899.45,26455,26653.5,26851,26851.15,26777.15,27117.95,20150,14489,387974106.2,7408
16-10-23,26850,27298.95,26576.8,26851.15,26605.25,26658.9,26969.38,27298.95,20150,28766,775801135.3,13865
17-10-23,26710.05,26875,26528.1,26658.9,26598.05,26631.7,26706.66,27298.95,20150,22537,601888065.8,6498
18-10-23,26700.05,26915.3,26517,26631.7,26666.8,26813.75,26761.98,27298.95,20150,21203,567434329.7,9120
19-10-23,26560,26599.95,26000,26813.75,26270,26297.45,26257.57,27298.95,20150,26692,700867024.05,11267
20-10-23,26297.45,26399.85,25900,26297.45,26125,26084.65,26096.93,27298.95,20150,22799,594983961.3,10251
23-10-23,26025,26199.5,25560.55,26084.65,25648.95,25704.1,25875.49,27298.95,20998.35,16692,431913732.6,7143
25-10-23,25649,25990.9,25447.3,25704.1,25475,25707.3,25712.42,27298.95,20998.35,39909,1026156925.35,10210
26-10-23,25680,25899.9,25375.85,25707.3,25375.85,25431.6,25570.05,27298.95,20998.35,56816,1452787759.75,18091
27-10-23,25431.6,25682.25,25309,25431.6,25570.25,25514.5,25487.52,27298.95,20998.35,19096,486709594.75,7531
30-10-23,25699.9,25998,25361.05,25514.5,25930.7,25943.55,25695.17,27298.95,21410,25503,655303971.9,8905
31-10-23,25930.7,26081.45,25551.05,25943.55,25734,25655.05,25683.06,27298.95,21410,22304,572834981.2,10111
1-11-23,25772.3,25790,25326.15,25655.05,25326.15,25420.65,25610.04,27298.95,21410,12977,332341541.95,6162
2-11-23,25500,25950,25426.45,25420.65,25751,25892.25,25813.88,27298.95,21410,15029,387956859.7,6356
3-11-23,25999,26145,25880,25892.25,26000,25957.85,26002.82,27298.95,21410,7457,193903045.8,3386
6-11-23,26026,26494.4,25999.6,25957.85,26389.15,26401,26372.1,27298.95,21410,20370,537199582.4,7362
7-11-23,26487.95,26750,26320,26401,26613.25,26685.55,26590.28,27298.95,21410,17181,456847566.75,7226
8-11-23,26669.05,26701.85,26200.05,26685.55,26275,26270.5,26400.09,27298.95,21410,28452,751135452.8,10565
9-11-23,26399.9,26399.9,25885.35,26270.5,25960.5,25951.4,26012.01,27298.95,21410,23367,607822626.1,10099
10-11-23,25960.5,26471.95,25758.05,25951.4,26301,26358.5,26225.57,27298.95,21410,41966,1100582142.85,17016
12-11-23,26495,26495,26200,26358.5,26350,26302.3,26319.71,27298.95,21410,2144,56429468.25,976
13-11-23,26300,26345.25,26075.25,26302.3,26196,26196.2,26194.23,27298.95,21410,10644,278811409.35,4595
15-11-23,26305,26399.95,26145.2,26196.2,26170.2,26203.45,26262.96,27298.95,21410,15802,415007358.2,7966
